Player ID;Player Name;Special Coins Earned;Gems Purchased;Rare Brawlers Unlocked;Legendary Brawlers Unlocked;Power Points Earned;Total Trophies;Wins in Special Modes;Star Skin Unlocked
001;Michael;18920;154;6;2;2333;34925;11;Yes
002;Martí;24296;182;6;0;1376;28256;5;No
003;Arnau;10406;137;7;3;4163;21706;17;No
004;Oriol;19117;7;3;2;1273;28994;6;Yes
005;Ella;9434;99;5;3;4861;19005;17;No
006;John;13494;102;6;1;2436;10950;9;No
007;Ryan;16815;269;3;3;3669;34558;17;Yes
008;Sophia;23949;99;3;3;2183;33749;2;Yes
009;Mireia;18964;201;4;2;1237;22699;17;Yes
010;Guillem;16192;68;6;1;3505;31942;19;No
011;Laia;13683;62;4;1;2525;13892;0;Yes
012;Grace;21831;219;2;0;2017;23192;11;No
013;Isabella;9441;123;3;1;2428;19641;2;No
014;Albert;10773;242;2;3;2672;27518;4;Yes
015;Albert;15285;209;6;3;1250;38732;15;Yes
016;Roger;20228;290;3;0;1757;36535;0;No
017;Oriol;16019;222;2;1;3303;16546;9;No
018;Pau;17417;67;6;1;4124;35236;18;Yes
019;Pere;12371;47;6;2;4505;38359;5;No
020;Alex;14812;206;2;0;4805;24609;5;Yes
021;Clara;12775;265;5;1;1178;23517;16;Yes
022;Núria;12157;208;1;0;3948;30465;3;No
023;Mireia;6541;262;7;3;2853;24222;16;Yes
024;Nathan;21173;178;1;3;1646;18278;18;Yes
025;Emily;5402;18;3;0;2932;10203;11;No
026;Sarah;5066;36;5;3;4392;12569;9;Yes
027;Sergi;7185;206;7;2;1346;16972;10;Yes
028;Pere;11843;298;1;3;2396;37341;20;No
029;Arnau;20789;165;1;2;4504;26703;4;Yes
030;Matthew;19087;169;2;3;1070;15552;0;No
031;Daniel;23251;73;7;0;4580;10287;11;Yes
032;Madison;19110;65;4;0;4051;11843;14;No
033;Marc;13154;71;1;2;1233;38758;19;No
034;Gerard;11402;128;1;2;4938;37464;14;Yes
035;Sophia;11445;157;3;1;1628;34012;10;Yes
036;Arnau;9581;129;4;2;3084;31283;15;No
037;Sophia;24975;193;2;1;1534;10141;11;Yes
038;Marc;24005;212;2;1;2565;35237;6;No
039;Pere;12788;62;1;1;4979;20497;8;Yes
040;Nathan;21035;102;2;2;3860;25763;13;Yes
041;Madison;12575;218;2;1;2221;25352;16;Yes
042;Isabella;11777;120;7;2;4259;39663;9;No
043;Matthew;21876;113;2;0;1831;34786;2;Yes
044;Marc;12874;33;7;3;2068;34828;19;Yes
045;Nathan;22841;224;5;2;4994;17722;0;No
046;Carla;20703;108;7;3;3514;37121;9;Yes
047;Ethan;10611;279;4;1;2779;12891;0;No
048;Michael;13249;116;2;0;3663;31349;16;Yes
049;Ella;13937;45;2;2;3611;26734;2;No
050;Sophia;11608;115;1;2;2260;29075;14;No
